frame_id,agent_id,x,y,type_id
0,0,4.171599634029524,7.330655128084105,0
1,0,4.181276974206395,7.181499333342057,0
2,0,4.190734882822853,7.035600408079046,0
3,0,4.205917070932318,6.914341951108679,0
4,0,4.224371232145501,6.779386084672267,0
5,0,4.25662645758253,6.627850297092434,0
6,0,4.289338205633069,6.478624340965552,0
7,0,4.301023474043445,6.329636442757996,0
8,0,4.3137282824111,6.2004110055956785,0
9,0,4.320473622312525,6.066252570301473,0
10,0,4.314912059143851,5.913669750076604,0
11,0,4.311587298525667,5.761755622763499,0
12,0,4.294604851407929,5.605247671017244,0
13,0,4.287048973747015,5.456707139043962,0
14,0,4.297736741709364,5.310321865284754,0
15,0,4.325206523732283,5.16106046530277,0
16,0,4.352683044933258,4.99661635811285,0
17,0,4.362836905826241,4.851246061686237,0
18,0,4.371928941986074,4.71133158575814,0
19,0,4.375716025642202,4.573759081202624,0
20,0,4.368096173094369,4.425713634438268,0
21,0,4.35707509556971,4.264522033654114,0
22,0,4.345565116831038,4.112233262539934,0
23,0,4.338980214644384,3.95451030078548,0
24,0,4.335150161015014,3.7982167252541403,0
25,0,4.338402847972045,3.6407381111121984,0
26,0,4.346460494604568,3.464591417120042,0
27,0,4.356677681432937,3.303596811075341,0
28,0,4.358165311574966,3.158468340352579,0
29,0,4.3554984021240815,3.003833493101614,0
30,0,4.362050452700426,2.830368300095043,0
31,0,4.352991177029685,2.644903202219974,0
32,0,4.338154641003736,2.456668923532977,0
33,0,4.328144100782994,2.271085278163866,0
34,0,4.321282026571878,2.0856098815327915,0
35,0,4.331566333597227,1.8936570073652272,0
0,1,3.707909674717045,7.294817464682233,0
1,1,3.697144473313697,7.162108200130889,0
2,1,3.704160786897683,7.02563515919839,0
3,1,3.7353540571038653,6.899708365290519,0
4,1,3.7748051338878064,6.773758754038525,0
5,1,3.8088411935293296,6.640672189520151,0
6,1,3.844155288211542,6.51079782686335,0
7,1,3.874198093594175,6.37815661750107,0
8,1,3.8907129510742147,6.250405400889721,0
9,1,3.90605277564883,6.111000334833779,0
10,1,3.9211657667923583,5.975261484301518,0
11,1,3.936197795335565,5.826871124374813,0
12,1,3.9438424406797803,5.68134681780456,0
13,1,3.9541142878499236,5.54400724434223,0
14,1,3.968363215147216,5.408099404277611,0
15,1,3.9868861576836814,5.2694978609310805,0
16,1,4.010621993528173,5.121849894909539,0
17,1,4.019067913884241,4.969231939710339,0
18,1,4.0186263690552195,4.825585384331891,0
19,1,4.011542388916013,4.684605293633861,0
20,1,4.003755389989184,4.540634509518957,0
21,1,3.980878641668596,4.391229818931557,0
22,1,3.963209539881621,4.233990908285127,0
23,1,3.939888713292541,4.098794148861687,0
24,1,3.936329310468917,3.953251268790528,0
25,1,3.935204074118334,3.8096493703025187,0
26,1,3.949956406041032,3.6498825026816,0
27,1,3.965578657011379,3.4960496636129093,0
28,1,3.959592442986332,3.358602979397047,0
29,1,3.94778224020808,3.2181717516900052,0
30,1,3.932106896153992,3.078528355491349,0
31,1,3.913006086310557,2.9230983867763842,0
32,1,3.9013708087665697,2.7676736509718274,0
33,1,3.887005215409099,2.620726408571728,0
34,1,3.881812244533115,2.4827710257961546,0
35,1,3.8907305215541075,2.3400873084262805,0
36,1,3.9148976986783586,2.1836772759355725,0
37,1,3.9262833234844714,2.0260113277378133,0
38,1,3.93509458251094,1.8805388399687732,0
0,2,6.194717397758045,8.182975578369964,0
1,2,6.293106834815612,8.189924963180282,0
2,2,6.393362599453517,8.201199834227383,0
3,2,6.491936880539773,8.229311337143779,0
4,2,6.591583603375113,8.236398493311135,0
5,2,6.6815617707056765,8.254560034209707,0
6,2,6.78926895952107,8.267671836952493,0
7,2,6.8896047823020465,8.269621259449638,0
8,2,6.994494299150339,8.270720949655109,0
9,2,7.099325571424542,8.277395444669681,0
10,2,7.2007731273801765,8.286165830651042,0
11,2,7.305100930713298,8.293913263386665,0
12,2,7.403499922054096,8.312310717552819,0
13,2,7.502314571211521,8.324761887677399,0
14,2,7.592824426613759,8.353334690091941,0
15,2,7.6965337605892445,8.388601678592716,0
16,2,7.792074011949479,8.413635272836759,0
17,2,7.874453749802985,8.43255230964812,0
18,2,7.970172672186223,8.447354266605696,0
19,2,8.06452525936457,8.458447101014134,0
20,2,8.172459058722232,8.463520581938722,0
21,2,8.282086967945766,8.461727701968668,0
22,2,8.381288537404762,8.469975809961015,0
23,2,8.472395159670588,8.473675752971136,0
24,2,8.575633341090228,8.483565684365512,0
25,2,8.678801690080322,8.49231491225334,0
26,2,8.776624929684711,8.502292268932047,0
